tripduration,starttime,stoptime,start station id,start station name,end station id,end station name,id,name
7089,43:55.5,42:05.3,74,Harvard Square at Mass Ave/ Dunster,78,Union Square - Somerville,113,Andrew T Stop - Dorchester Ave at Dexter St
6988,06:57.3,03:25.4,74,Harvard Square at Mass Ave/ Dunster,37,New Balance - 20 Guest St,141,Kendall Street
6984,58:57.8,55:21.9,74,Harvard Square at Mass Ave/ Dunster,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,180,Mt Auburn
6973,08:49.7,05:03.4,74,Harvard Square at Mass Ave/ Dunster,73,Harvard Square at Brattle St / Eliot St,193,Brookline Town Hall
6936,06:06.8,01:43.3,74,Harvard Square at Mass Ave/ Dunster,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,369,Boston Public Market
6917,29:20.8,24:38.0,74,Harvard Square at Mass Ave/ Dunster,191,Tappan St at Brookline Hills MBTA,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St
6851,01:17.5,55:29.5,74,Harvard Square at Mass Ave/ Dunster,17,Soldiers Field Park - 111 Western Ave,54,Tremont St at West St
6791,49:33.8,42:45.0,74,Harvard Square at Mass Ave/ Dunster,67,MIT at Mass Ave / Amherst St,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St
6766,50:08.6,42:54.8,74,Harvard Square at Mass Ave/ Dunster,183,Alewife MBTA at Steel Place,213,East Boston Neighborhood Health Center - 20 Maverick Square
6744,49:58.5,42:23.2,74,Harvard Square at Mass Ave/ Dunster,67,MIT at Mass Ave / Amherst St,70,Harvard Kennedy School at Bennett St / Eliot St
6732,47:33.5,39:46.4,74,Harvard Square at Mass Ave/ Dunster,9,Commonwealth Ave at Agganis Way,357,Centre St at Seaverns Ave
6724,58:11.4,50:16.1,74,Harvard Square at Mass Ave/ Dunster,157,Seaport Blvd at Sleeper St,50,Boylston St at Berkeley St
6625,59:22.5,49:48.1,74,Harvard Square at Mass Ave/ Dunster,157,Seaport Blvd at Sleeper St,351,Faneuil St at Arlington St
6624,50:48.4,41:12.9,74,Harvard Square at Mass Ave/ Dunster,74,Harvard Square at Mass Ave/ Dunster,33,Kenmore Square
6575,55:49.0,45:24.5,74,Harvard Square at Mass Ave/ Dunster,49,Stuart St at Charles St,7,Fan Pier
6570,19:38.7,09:09.5,74,Harvard Square at Mass Ave/ Dunster,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,120,Beacon St at Charles St
6562,38:37.0,27:59.4,74,Harvard Square at Mass Ave/ Dunster,60,Charles Circle - Charles St at Cambridge St,122,Burlington Ave at Brookline Ave
6536,38:02.6,26:59.4,74,Harvard Square at Mass Ave/ Dunster,60,Charles Circle - Charles St at Cambridge St,110,Harvard University Gund Hall at Quincy St / Kirkland St
6476,52:48.8,40:45.7,74,Harvard Square at Mass Ave/ Dunster,208,Oak Square - 615 Washington St,181,Huron Ave At Vassal Lane
6475,14:48.0,02:43.9,74,Harvard Square at Mass Ave/ Dunster,190,Nashua Street at Red Auerbach Way,57,Massachusetts Ave at Columbus Ave
6462,39:17.1,27:00.0,74,Harvard Square at Mass Ave/ Dunster,10,B.U. Central - 725 Comm. Ave.,159,S Huntington Ave at Heath St
6366,47:45.8,33:52.5,74,Harvard Square at Mass Ave/ Dunster,35,Arch St at Franklin St,36,Copley Square - Dartmouth St at Boylston St
6365,47:39.7,33:45.4,74,Harvard Square at Mass Ave/ Dunster,35,Arch St at Franklin St,186,Congress St at Northern Ave
6310,48:12.5,33:22.7,74,Harvard Square at Mass Ave/ Dunster,35,Arch St at Franklin St,354,Washington St at Egremont Rd
6261,03:13.4,47:35.0,74,Harvard Square at Mass Ave/ Dunster,163,The Lawn on D,52,Newbury St at Hereford St
6253,57:28.3,41:41.5,74,Harvard Square at Mass Ave/ Dunster,95,Cambridge St - at Columbia St / Webster Ave,46,Christian Science Plaza - Massachusetts Ave at Westland Ave
