tripduration,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude
3054.5,58,Mugar Way at Beacon St,42.35553628,-71.0728687,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579
2085,58,Mugar Way at Beacon St,42.35553628,-71.0728687,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324
2239.666667,58,Mugar Way at Beacon St,42.35553628,-71.0728687,77,Somerville City Hall,42.386844,-71.09812
1823,58,Mugar Way at Beacon St,42.35553628,-71.0728687,79,Beacon St at Washington / Kirkland,42.37842,-71.105668
2872,58,Mugar Way at Beacon St,42.35553628,-71.0728687,81,Chinatown T Stop,42.352409,-71.062679
1915,58,Mugar Way at Beacon St,42.35553628,-71.0728687,82,Beacon St at Tappan St,42.3382668,-71.13894682
4228,58,Mugar Way at Beacon St,42.35553628,-71.0728687,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472
2905,58,Mugar Way at Beacon St,42.35553628,-71.0728687,85,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927
2422,58,Mugar Way at Beacon St,42.35553628,-71.0728687,86,Brookline Village - Station Street at MBTA,42.33274392,-71.11626681
2487.5,58,Mugar Way at Beacon St,42.35553628,-71.0728687,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214
5054,58,Mugar Way at Beacon St,42.35553628,-71.0728687,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945
1951,58,Mugar Way at Beacon St,42.35553628,-71.0728687,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529
2443,58,Mugar Way at Beacon St,42.35553628,-71.0728687,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169
2958,58,Mugar Way at Beacon St,42.35553628,-71.0728687,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075
2774.631579,58,Mugar Way at Beacon St,42.35553628,-71.0728687,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36912158,-71.11638672
3243.333333,58,Mugar Way at Beacon St,42.35553628,-71.0728687,98,Warren St at Chelsea St,42.371848,-71.060292
2300,58,Mugar Way at Beacon St,42.35553628,-71.0728687,100,Davis Square,42.396969,-71.123024
2174.5,58,Mugar Way at Beacon St,42.35553628,-71.0728687,102,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772
4042,58,Mugar Way at Beacon St,42.35553628,-71.0728687,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107
2198.333333,58,Mugar Way at Beacon St,42.35553628,-71.0728687,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163
3460,58,Mugar Way at Beacon St,42.35553628,-71.0728687,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865
3871,58,Mugar Way at Beacon St,42.35553628,-71.0728687,109,West End Park,42.36590788,-71.06446669
3669.714286,58,Mugar Way at Beacon St,42.35553628,-71.0728687,110,Harvard University Gund Hall at Quincy St / Kirkland St,42.376369,-71.114025
2637,58,Mugar Way at Beacon St,42.35553628,-71.0728687,111,Packard Ave at Powderhouse Blvd,42.40449,-71.123413
2381,58,Mugar Way at Beacon St,42.35553628,-71.0728687,115,Porter Square Station,42.387995,-71.119084
1905,58,Mugar Way at Beacon St,42.35553628,-71.0728687,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412
2431,58,Mugar Way at Beacon St,42.35553628,-71.0728687,117,Binney St / Sixth St,42.36608797,-71.08633604
2027,58,Mugar Way at Beacon St,42.35553628,-71.0728687,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516
12209,58,Mugar Way at Beacon St,42.35553628,-71.0728687,119,South Boston Library - 646 E Broadway,42.335741,-71.03877
5212.555556,58,Mugar Way at Beacon St,42.35553628,-71.0728687,120,Beacon St at Charles St,42.356052,-71.069849
3366.5,58,Mugar Way at Beacon St,42.35553628,-71.0728687,121,W Broadway at Dorchester St,42.33595898,-71.046229
2151,58,Mugar Way at Beacon St,42.35553628,-71.0728687,122,Burlington Ave at Brookline Ave,42.345733,-71.100694
2760.666667,58,Mugar Way at Beacon St,42.35553628,-71.0728687,125,Hyde Square - Barbara St at Centre St,42.32176526,-71.10984161
2881.333333,58,Mugar Way at Beacon St,42.35553628,-71.0728687,134,Boylston St at Dartmouth St FORMER,42.350413,-71.07655
3377.714286,58,Mugar Way at Beacon St,42.35553628,-71.0728687,139,Dana Park,42.36178044,-71.10809952
2136.666667,58,Mugar Way at Beacon St,42.35553628,-71.0728687,141,Kendall Street,42.36356016,-71.08216792
2155,58,Mugar Way at Beacon St,42.35553628,-71.0728687,142,Alewife Station at Russell Field,42.396105,-71.139459
2962,58,Mugar Way at Beacon St,42.35553628,-71.0728687,143,EF - North Point Park,42.369885,-71.069957
7226,58,Mugar Way at Beacon St,42.35553628,-71.0728687,145,Rindge Avenue - O'Neill Library,42.392766,-71.129042
3238,58,Mugar Way at Beacon St,42.35553628,-71.0728687,146,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739
2740,58,Mugar Way at Beacon St,42.35553628,-71.0728687,149,175 N Harvard St,42.363796,-71.129164
2260,58,Mugar Way at Beacon St,42.35553628,-71.0728687,150,State Street at Channel Center,42.344137,-71.052608
