tripduration,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude
2046,58,Beacon St at Arlington St,42.35554932,-71.07284188,44,Congress St at North St,42.360613,-71.057452
2156,58,Beacon St at Arlington St,42.35554932,-71.07284188,133,Green Street T Stop - Green St at Amory St,42.310579,-71.107341
1983,58,Beacon St at Arlington St,42.35554932,-71.07284188,35,Arch St at Franklin St,42.35530156,-71.05825603
6485,58,Beacon St at Arlington St,42.35554932,-71.07284188,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025
2259.5,58,Beacon St at Arlington St,42.35554932,-71.07284188,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495
2555,58,Beacon St at Arlington St,42.35554932,-71.07284188,124,Curtis Hall - South St at Centre St,42.309054,-71.11543
4168.8,58,Beacon St at Arlington St,42.35554932,-71.07284188,129,Hayes Square - Vine St at Moulton St,42.377022,-71.056605
2564,58,Beacon St at Arlington St,42.35554932,-71.07284188,9,Commonwealth Ave at Buick St,42.351246,-71.115639
9853,58,Beacon St at Arlington St,42.35554932,-71.07284188,30,Brigham Circle - Francis St at Huntington Ave,42.33439781,-71.10507935
1920,58,Beacon St at Arlington St,42.35554932,-71.07284188,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865
2843.5,58,Beacon St at Arlington St,42.35554932,-71.07284188,43,Rowes Wharf at Atlantic Ave,42.357143,-71.050699
57465.33333,58,Beacon St at Arlington St,42.35554932,-71.07284188,189,Kendall T,42.36242784,-71.08495474
2097.5,58,Beacon St at Arlington St,42.35554932,-71.07284188,182,Museum of Science,42.36769018,-71.07116282
3423,58,Beacon St at Arlington St,42.35554932,-71.07284188,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529
6039,58,Beacon St at Arlington St,42.35554932,-71.07284188,55,Boylston St at Massachusetts Ave,42.347265,-71.088088
3122.666667,58,Beacon St at Arlington St,42.35554932,-71.07284188,163,The Lawn on D,42.344792,-71.044024
2174,58,Beacon St at Arlington St,42.35554932,-71.07284188,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193,-71.04436085
1939,58,Beacon St at Arlington St,42.35554932,-71.07284188,29,Innovation Lab - 125 Western Ave at Batten Way,42.363732,-71.124565
3288,58,Beacon St at Arlington St,42.35554932,-71.07284188,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169
2079,58,Beacon St at Arlington St,42.35554932,-71.07284188,141,Kendall Street,42.36356016,-71.08216792
4704,58,Beacon St at Arlington St,42.35554932,-71.07284188,69,Coolidge Corner - Beacon St @ Centre St,42.341598,-71.123338
2043.5,58,Beacon St at Arlington St,42.35554932,-71.07284188,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324
1834,58,Beacon St at Arlington St,42.35554932,-71.07284188,41,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831
1921.5,58,Beacon St at Arlington St,42.35554932,-71.07284188,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309,-71.10393405
2845,58,Beacon St at Arlington St,42.35554932,-71.07284188,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526
1889,58,Beacon St at Arlington St,42.35554932,-71.07284188,174,Washington St at Brock St,42.34895285,-71.16031677
2713.5,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,23,Boston City Hall - 28 State St,42.35892,-71.057629
4630.5,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,111,Packard Ave / Powderhouse Blvd,42.40449,-71.123413
7271.333333,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,177,University Park,42.36264779,-71.10006094
1936,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,4,Tremont St at E Berkeley St,42.345392,-71.069616
1984,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,52,Newbury St at Hereford St,42.348717,-71.085954
2689.875,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,36,Copley Square - Dartmouth St at Boylston St,42.34976701,-71.07732654
4148.75,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579
2829.5,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495
2453,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198
2275.333333,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,141,Kendall Street,42.36356016,-71.08216792
3200.5,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,58,Beacon St at Arlington St,42.35554932,-71.07284188
3270,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,33,Kenmore Square,42.348706,-71.097009
5374.666667,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,21,Prudential Center - Belvedere St,42.345959,-71.082578
3994.5,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,182,Museum of Science,42.36769018,-71.07116282
2140.8,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,149,175 N Harvard St,42.363796,-71.129164
