tripduration,start_station_id,start_station_name,end_station_id,end_station_name
2143865,139,Dana Park,1,18 Dorrance Warehouse
1406794,73,Harvard Square at Brattle St / Eliot St,1,18 Dorrance Warehouse
1234657,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,110,Harvard University Gund Hall at Quincy St / Kirkland S
1210837,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,27,Roxbury Crossing T Stop - Columbus Ave at Tremont St
996905,217,Orient Heights T Stop - Bennington St at Saratoga St,214,Airport T Stop - Bremen St at Brooks St
889935,49,Stuart St at Charles St,23,Boston City Hall - 28 State St
863850,4,Tremont St at E Berkeley St,6,Cambridge St at Joy St
845388,25,South End Library - Tremont St at W Newton St,36,Copley Square - Dartmouth St at Boylston St
802637,57,Columbus Ave at Massachusetts Ave,43,Rowes Wharf at Atlantic Ave
767044,10,B.U. Central - 725 Comm. Ave.,52,Newbury St at Hereford St
761455,81,Boylston St at Washington St,81,Boylston St at Washington St
694816,119,South Boston Library - 646 E Broadway,146,Murphy Skating Rink - 1880 Day Blvd
462914,81,Boylston St at Washington St,57,Columbus Ave at Massachusetts Ave
446869,22,South Station - 700 Atlantic Ave,203,Columbia Rd at Ceylon St
440808,26,Washington St at Waltham St,196,Roxbury YMCA - Warren St at MLK Blvd
423576,107,Ames St at Main St,160,Wentworth Institute of Technology - Huntington Ave at Vancouver St
416095,113,Andrew T Stop - Dorchester Ave at Dexter St,138,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square
416081,32,Landmark Center - Brookline Ave at Park Dr,1,18 Dorrance Warehouse
413740,55,Boylston St at Massachusetts Ave,36,Copley Square - Dartmouth St at Boylston St
313839,161,W Broadway at D St,81,Boylston St at Washington St
311759,69,Coolidge Corner - Beacon St @ Centre St,170,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave
307841,61,Boylston St at Fairfield St,51,Washington St at Lenox St
288743,50,Boylston St at Berkeley St,57,Columbus Ave at Massachusetts Ave
272008,24,Seaport Square - Seaport Blvd at Northern Ave,183,Alewife MBTA at Steel Place
268027,15,Brighton Mills - 370 Western Ave,15,Brighton Mills - 370 Western Ave
257800,11,Longwood Ave at Binney St,11,Longwood Ave at Binney St
