tripduration,starttime,stoptime,start station id,startstationname,start station latitude,start station longitude,end station id,endstationname,end station latitude,end station longitude,bikeid,usertype,birth year,gender
61,6/21/2017 17:52,6/21/2017 17:53,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,739,Subscriber,1980,2
61,6/27/2017 12:19,6/27/2017 12:20,41,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,41,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,1253,Customer,\N,0
61,6/28/2017 17:30,6/28/2017 17:31,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,609,Subscriber,1986,1
61,6/28/2017 17:45,6/28/2017 17:46,143,EF - North Point Park,42.369885,-71.069957,143,EF - North Point Park,42.369885,-71.069957,1574,Subscriber,1988,1
61,6/29/2017 9:30,6/29/2017 9:31,23,Boston City Hall - 28 State St,42.35892,-71.057629,48,Post Office Square - Pearl St at Milk St,42.356755,-71.055407,1700,Subscriber,1994,1
61,6/29/2017 20:38,6/29/2017 20:39,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919032,-71.11714125,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919032,-71.11714125,1019,Subscriber,1993,2
61,6/30/2017 11:25,6/30/2017 11:27,33,Kenmore Square,42.348706,-71.097009,33,Kenmore Square,42.348706,-71.097009,1817,Subscriber,1996,1
62,6/5/2017 17:57,6/5/2017 17:58,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,897,Subscriber,1988,1
62,6/7/2017 22:24,6/7/2017 22:25,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,1828,Subscriber,1995,2
62,6/8/2017 18:16,6/8/2017 18:17,94,Main St at Austin St,42.375603,-71.064608,94,Main St at Austin St,42.375603,-71.064608,1752,Subscriber,1986,1
62,6/10/2017 11:05,6/10/2017 11:06,51,Washington St at Lenox St,42.33509899,-71.07903779,51,Washington St at Lenox St,42.33509899,-71.07903779,1939,Subscriber,1984,1
62,6/10/2017 13:04,6/10/2017 13:05,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,1866,Customer,\N,0
62,6/11/2017 10:49,6/11/2017 10:50,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,34,Customer,\N,0
62,6/11/2017 12:54,6/11/2017 12:55,33,Kenmore Square,42.348706,-71.097009,33,Kenmore Square,42.348706,-71.097009,1380,Customer,\N,0
62,6/12/2017 20:45,6/12/2017 20:46,43,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,43,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,1829,Customer,\N,0
62,6/14/2017 12:19,6/14/2017 12:20,19,Park Dr at Buswell St,42.347241,-71.105301,19,Park Dr at Buswell St,42.347241,-71.105301,1243,Subscriber,1983,2
62,6/14/2017 18:26,6/14/2017 18:27,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,1417,Subscriber,1986,2
62,6/19/2017 19:39,6/19/2017 19:40,107,Ames St at Main St,42.3625,-71.08822,107,Ames St at Main St,42.3625,-71.08822,798,Subscriber,1990,2
62,6/22/2017 19:12,6/22/2017 19:13,189,Kendall T,42.36242784,-71.08495474,189,Kendall T,42.36242784,-71.08495474,665,Subscriber,1988,1
62,6/25/2017 7:55,6/25/2017 7:56,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.3572185,-71.11387163,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.3572185,-71.11387163,869,Subscriber,1978,2
62,6/25/2017 19:25,6/25/2017 19:27,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1822,Subscriber,1994,1
