tripduration,start_station_id,start_station_name,end_station_id,end_station_name
1507435,40,Lewis Wharf at Atlantic Ave,404,Mass Ave T Station
1485543,42,Boylston St at Arlington St,341,Roslindale Village - Washington St
1450440,192,Purchase St at Pearl St,365,Harrison Ave at Bennet St
1443222,368,Blue Hill Ave at Southwood St,1,18 Dorrance Warehouse
1436149,160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,1,18 Dorrance Warehouse
1429145,384,Clarendon St at Newbury St,1,18 Dorrance Warehouse
1421270,19,Park Dr at Buswell St,1,18 Dorrance Warehouse
1392963,385,Albany St at E. Brookline St,42,Boylston St at Arlington St
1357715,152,Ink Block - Harrison Ave at Herald St,336,Mattapan T Stop
1357224,339,Archdale Rd at Washington St,337,Roslindale Village - South St
1281717,361,Deerfield St at Commonwealth Ave,57,Massachusetts Ave at Columbus Ave
1264821,60,Charles Circle - Charles St at Cambridge St,52,Newbury St at Hereford St
1185028,49,Stuart St at Charles St,144,Rogers St & Land Blvd
1169830,33,Kenmore Square,46,Christian Science Plaza - Massachusetts Ave at Westland Ave
1160333,43,Rowes Wharf at Atlantic Ave,1,18 Dorrance Warehouse
1153980,205,Bowdoin St at Quincy St,1,18 Dorrance Warehouse
1125551,182,Museum of Science,15,Brighton Mills - 370 Western Ave
1117288,91,One Kendall Square at Hampshire St / Portland St,364,Tremont St at Northampton St
1116565,170,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,197,MLK Blvd at Washington St
1109053,36,Copley Square - Dartmouth St at Boylston St,68,Central Square at Mass Ave / Essex St
1107982,142,Alewife Station at Russell Field,1,18 Dorrance Warehouse
1102518,27,Roxbury Crossing T Stop - Columbus Ave at Tremont St,380,Mass Ave at Albany St
1078551,121,W Broadway at Dorchester St,1,18 Dorrance Warehouse
1070781,59,Chinatown Gate Plaza,139,Dana Park
1059310,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,329,Washington St at Myrtle St
1046299,23,Boston City Hall - 28 State St,56,Dudley Square - Bolling Building
1038272,296,Farragut Rd at E. 6th St,146,Murphy Skating Rink - 1880 Day Blvd
1010342,61,Boylston St at Fairfield St,199,Uphams Corner T Stop - Magnolia St at Dudley St
1001728,4,Tremont St at E Berkeley St,115,Porter Square Station
993159,372,Boylston St at Exeter St,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St
975319,387,7 Acre Park,396,Wasgatt Playground
973590,214,Airport T Stop - Bremen St at Brooks St,212,Maverick Square - Lewis Mall
958801,160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,1,18 Dorrance Warehouse
934755,80,MIT Stata Center at Vassar St / Main St,1,18 Dorrance Warehouse
924150,225,Cambridge Dept. of Public Works -147 Hampshire St.,118,Linear Park - Mass. Ave. at Cameron Ave. 
923471,205,Bowdoin St at Quincy St,373,Belgrade Ave at Walworth St
912848,22,South Station - 700 Atlantic Ave,107,Ames St at Main St
